state/ut,age-group-males,ratio-males,age-group-females,ratio-females
00,20-24,0.266026945737125,20-24,0.24500570946673772
01,10-14,0.49102174248679276,10-14,0.4739087411322605
02,25-29,0.16846531667384748,20-24,0.1531832351489633
03,10-14,0.26476655621121664,10-14,0.26560193062137044
04,30-49,0.28920121921718517,70+,0.3053693984658862
05,20-24,0.24261783605096016,20-24,0.20341989148302414
06,20-24,0.2599462849259069,20-24,0.2435382656712595
07,20-24,0.43450412072174904,20-24,0.43264189090246835
08,20-24,0.14427489346356442,15-19,0.12128173385282098
09,20-24,0.17800230397475517,20-24,0.15503055548996147
10,20-24,0.2011620713036312,15-19,0.18847644994851886
11,30-49,0.40453525532059564,30-49,0.3737911550581332
12,10-14,0.41719833257775957,10-14,0.4203216374269006
13,15-19,0.4121057002898452,30-49,0.44261333800105024
14,15-19,0.35170767154572824,15-19,0.3455474237437988
15,20-24,0.3525363885286064,15-19,0.3471048570798736
16,25-29,0.37467368144454155,15-19,0.36168948402030643
17,20-24,0.2688658904700302,15-19,0.27580633174791913
18,25-29,0.40230229957172864,10-14,0.39018154946174277
19,25-29,0.18962155838556366,20-24,0.15476237703231688
20,20-24,0.32715091496112175,15-19,0.3228845509973624
21,25-29,0.2728978225211464,10-14,0.2551976840132582
22,25-29,0.14994310156513585,20-24,0.13669626517094036
23,20-24,0.16634225151431253,15-19,0.15454217924335906
24,15-19,0.41880735257190627,15-19,0.3984391373890023
25,10-14,0.42612903225806453,15-19,0.4994427244582043
26,50-69,0.4807373965387509,10-14,0.470213022024311
27,15-19,0.4332631689548893,15-19,0.42887391503573313
28,20-24,0.26842710389854074,15-19,0.25436132435650066
29,20-24,0.324414246783977,15-19,0.31776274051433473
30,10-14,0.344619189438668,10-14,0.33959904427686105
31,25-29,0.20829346092503986,20-24,0.2037708484408992
32,20-24,0.25576482146184326,20-24,0.2581370799783172
33,20-24,0.3814366914711659,15-19,0.3836483623758827
34,20-24,0.4411254313958703,15-19,0.4360387341519417
35,10-14,0.5645519336371071,10-14,0.5603400819621995
