state/ut,age-group-males,ratio-males,age-group-females,ratio-females
00,5-9,0.8768207300383077,5-9,0.8765852252915584
01,5-9,0.685737355018224,70+,0.7817361715597057
02,5-9,0.8871304867124514,70+,0.922297989229305
03,5-9,0.8011641860300749,70+,0.8482608959031903
04,5-9,0.7139376713024058,5-9,0.7254345597176852
05,5-9,0.9036843580355565,5-9,0.9035662285258171
06,5-9,0.9061053705829826,5-9,0.9079154731607586
07,5-9,0.8445882816728894,5-9,0.8445062527866833
08,5-9,0.9399054632528371,70+,0.941446580368792
09,5-9,0.9540134506828546,5-9,0.9531543546201945
10,5-9,0.8798163347788371,5-9,0.8801317915479153
11,5-9,0.6258365867261573,5-9,0.6192926045016077
12,5-9,0.5356809190417421,70+,0.6254701773240193
13,5-9,0.6729798503070943,70+,0.6934770450963444
14,5-9,0.8140298866231321,5-9,0.8134891183725976
15,5-9,0.8952878706919584,5-9,0.89860103626943
16,5-9,0.8035017763893799,70+,0.8064945105922375
17,5-9,0.9102512842574082,5-9,0.9064860096974379
18,5-9,0.7374605972499177,5-9,0.735775115319797
19,5-9,0.9285753076471217,5-9,0.9298452560452052
20,5-9,0.7961710749292098,5-9,0.7966851534189273
21,5-9,0.8388573752277207,70+,0.8742920653583107
22,5-9,0.8991481248562225,5-9,0.9038849793936423
23,5-9,0.9225506317967428,5-9,0.9195690819917902
24,5-9,0.8674152803814994,5-9,0.8711657596509973
25,5-9,0.7687220187220187,5-9,0.7761004839824844
26,5-9,0.5514979799569757,70+,0.5644970414201184
27,5-9,0.768406912316825,5-9,0.7696152291115281
28,5-9,0.8644640806638021,70+,0.8693059187349854
29,5-9,0.750905375889523,5-9,0.750633340655342
30,5-9,0.4792398302604624,5-9,0.4752417342482845
31,5-9,0.9692028985507246,5-9,0.9743105402342275
32,5-9,0.9518834552137447,5-9,0.9507325536255453
33,5-9,0.8578160855443477,5-9,0.8561157527402238
34,5-9,0.8872970771156635,5-9,0.8876214093821038
35,5-9,0.5416451779267664,70+,0.5850129198966408
