state/ut,age-group,percentage
00,20-24,11.51844165445463
01,20-24,29.580166644701194
02,20-24,8.206521232678849
03,15-19,45.763948606000035
04,50-69,42.7749034467682
05,20-24,3.094834588915416
06,15-19,7.318619999327704
07,70+,14.999230719599776
08,15-19,2.884064939963908
09,20-24,2.4433961019072683
10,15-19,2.9184302883181608
11,15-19,45.79828794239359
12,15-19,47.58924907673369
13,20-24,40.33998326507244
14,25-29,31.6633207259767
15,30-49,7.42044665267738
16,20-24,8.211384946017573
17,30-49,14.86251200768492
18,20-24,21.065613072088624
19,50-69,4.457690944666807
20,20-24,7.375031033143752
21,15-19,22.309814189542053
22,25-29,2.296116268896126
23,15-19,2.9632771923576726
24,15-19,23.986559286435178
25,30-49,18.17814371257485
26,15-19,33.82974867085549
27,20-24,27.06817422395849
28,15-19,12.981033382931292
29,20-24,17.57703106686462
30,15-19,68.0886937431394
31,20-24,25.990735975295937
32,20-24,16.945887721138313
33,20-24,4.589020146944347
34,20-24,7.852488995487921
35,15-19,28.747047780536544
