state/ut,literacy-group,percentage
00,Graduate and above,32.43062924465504
01,Graduate and above,67.38547855189334
02,Graduate and above,15.250252457966587
03,Graduate and above,76.65196161390604
04,Graduate and above,69.46665775277316
05,Graduate and above,7.242982440722057
06,Graduate and above,18.039673216716345
07,Graduate and above,23.913752917133817
08,Graduate and above,7.958327049223676
09,Graduate and above,6.647457347589748
10,Graduate and above,8.557371844702052
11,Graduate and above,77.33325170651077
12,Graduate and above,71.54049919785098
13,Graduate and above,70.30027419246974
14,Graduate and above,64.66359365304494
15,Graduate and above,24.91686987364221
16,Graduate and above,33.81345601253882
17,Graduate and above,46.93268816491565
18,Graduate and above,62.46513306537334
19,Graduate and above,24.468926639100033
20,Graduate and above,20.087062101940795
21,Graduate and above,66.7355646410438
22,Graduate and above,10.915313592834295
23,Graduate and above,11.190417531080097
24,Graduate and above,68.8330259552297
25,Graduate and above,54.842993282299645
26,Graduate and above,51.934911859810164
27,Graduate and above,64.79881367011144
28,Graduate and above,37.07331049468147
29,Graduate and above,48.93661588165337
30,Graduate and above,80.53232353502057
31,Graduate and above,67.28931364031277
32,Graduate and above,38.702005790652386
33,Graduate and above,14.992793723118462
34,Graduate and above,21.216089671827586
35,Graduate and above,55.196821060474356
